"codigo","componente","segunda_linha"
"B0000","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0001","Airbag Frontal do Motorista.","Falha no controle de disparo - 1° estágio."
"B0002","Airbag Frontal do Motorista.","Falha no controle de disparo - 2° estágio."
"B0003","Airbag Frontal do Motorista.","Falha no controle de disparo - 3° estágio."
"B0004","Airbag de Joelho do Motorista.","Falha no controle de disparo."
"B0005","Coluna de Direção Colapsável.","Falha no controle de disparo."
"B0006","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0007","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0008","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0009","Código reservado para uso futuro pelas normas ISO/SAE.",
"B000A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B000B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B000C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B000D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B000E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B000F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0010","Airbag Frontal do Passageiro.","Falha no controle de disparo - 1° estágio."
"B0011","Airbag Frontal do Passageiro.","Falha no controle de disparo - 2° estágio."
"B0012","Airbag Frontal do Passageiro.","Falha no controle de disparo - 3° estágio."
"B0013","Airbag de Joelho do Passageiro.","Falha no controle de disparo."
"B0014","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0015","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0016","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0017","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0018","Airbag Frontal Central.","Falha no controle de disparo - 1° estágio."
"B0019","Airbag Frontal Central.","Falha no controle de disparo - 2° estágio."
"B001A","Airbag Frontal Central.","Falha no controle de disparo - 3° estágio."
"B001B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B001C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B001D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B001E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B001F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0020","Airbag Lateral Esquerdo.","Falha no controle de disparo."
"B0021","Airbag de Cortina Esquerdo.","Falha no controle de disparo - 1° estágio."
"B0022","Airbag de Cortina Esquerdo.","Falha no controle de disparo - 2° estágio."
"B0023","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0024","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0025","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0026","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0027","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0028","Airbag Lateral Direito.","Falha no controle de disparo."
"B0029","Airbag de Cortina Direito.","Falha no controle de disparo - 1° estágio."
"B002A","Airbag de Cortina Direito.","Falha no controle de disparo - 2° estágio."
"B002B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B002C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B002D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B002E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B002F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0030","Airbag Lateral Traseiro Esquerdo.","Falha no controle de disparo."
"B0031","Airbag Frontal Traseiro Esquerdo.","Falha no controle de disparo - 1° estágio."
"B0032","Airbag Frontal Traseiro Esquerdo.","Falha no controle de disparo - 2° estágio."
"B0033","Airbag Frontal Traseiro Esquerdo.","Falha no controle de disparo - 3° estágio."
"B0034","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0035","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0036","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0037","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0038","Airbag Lateral Traseiro Direito.","Falha no controle de disparo."
"B0039","Airbag Frontal Traseiro Direito.","Falha no controle de disparo - 1° estágio."
"B003A","Airbag Frontal Traseiro Direito.","Falha no controle de disparo - 2° estágio."
"B003B","Airbag Frontal Traseiro Direito.","Falha no controle de disparo - 3° estágio."
"B003C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B003D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B003E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B003F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0040","Airbag Lateral Esquerdo dos Bancos Traseiros Adicionais.","Falha no controle de disparo."
"B0041","Airbag Frontal Esquerdo dos Bancos Traseiros Adicionais.","Falha no controle de disparo - 1° estágio."
"B0042","Airbag Frontal Esquerdo dos Bancos Traseiros Adicionais.","Falha no controle de disparo - 2° estágio."
"B0043","Airbag Frontal Esquerdo dos Bancos Traseiros Adicionais.","Falha no controle de disparo - 3° estágio."
"B0044","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0045","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0046","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0047","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0048","Airbag Lateral Direito dos Bancos Traseiros Adicionais.","Falha no controle de disparo."
"B0049","Airbag Frontal Direito dos Bancos Traseiros Adicionais.","Falha no controle de disparo - 1° estágio."
"B004A","Airbag Frontal Direito dos Bancos Traseiros Adicionais.","Falha no controle de disparo - 2° estágio."
"B004B","Airbag Frontal Direito dos Bancos Traseiros Adicionais.","Falha no controle de disparo - 3° estágio."
"B004C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B004D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B004E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B004F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0050","Interruptor do Cinto de Segurança do Motorista.",
"B0051","Interruptor do Cinto de Segurança do Banco Frontal Central.",
"B0052","Interruptor do Cinto de Segurança do Passageiro.",
"B0053","Interruptor do Cinto de Segurança do Banco Traseiro Esquerdo.",
"B0054","Interruptor do Cinto de Segurança do Banco Traseiro Central.",
"B0055","Interruptor do Cinto de Segurança do Banco Traseiro Direito.",
"B0056","Interruptor do Cinto de Segurança do Banco Traseiro Adicional Esquerdo.",
"B0057","Interruptor do Cinto de Segurança do Banco Traseiro Adicional Central.",
"B0058","Interruptor do Cinto de Segurança do Banco Traseiro Adicional Direito.",
"B0059","Código reservado para uso futuro pelas normas ISO/SAE.",
"B005A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B005B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B005C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B005D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B005E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B005F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0060","Sensor de Tensão do Cinto de Segurança do Motorista.",
"B0061","Sensor de Tensão do Cinto de Segurança do Passageiro.",
"B0062","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0063","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0064","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0065","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0066","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0067","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0068","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0069","Código reservado para uso futuro pelas normas ISO/SAE.",
"B006A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B006B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B006C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B006D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B006E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B006F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0070","Pré-Tensionador 1 do Cinto de Segurança do Motorista.","Falha no controle de disparo."
"B0071","Pré-Tensionador do Cinto de Segurança do Banco Frontal Central.","Falha no controle de disparo."
"B0072","Pré-Tensionador 1 do Cinto de Segurança do Passageiro.","Falha no controle de disparo."
"B0073","Pré-Tensionador do Cinto de Segurança do Banco Traseiro Esquerdo.","Falha no controle de disparo."
"B0074","Pré-Tensionador do Cinto de Segurança do Banco Traseiro Central.","Falha no controle de disparo."
"B0075","Pré-Tensionador do Cinto de Segurança do Banco Traseiro Direito.","Falha no controle de disparo."
"B0076","Pré-Tensionador do Cinto de Segurança do Banco Traseiro Adicional Esquerdo.","Falha no controle de disparo."
"B0077","Pré-Tensionador do Cinto de Segurança do Banco Traseiro Adicional Central.","Falha no controle de disparo."
"B0078","Pré-Tensionador do Cinto de Segurança do Banco Traseiro Adicional Direito.","Falha no controle de disparo."
"B0079","Pré-Tensionador 2 do Cinto de Segurança do Motorista.","Falha no controle de disparo."
"B007A","Pré-Tensionador 2 do Cinto de Segurança do Passageiro.","Falha no controle de disparo."
"B007B","Pré-Tensionador 2 do Cinto de Segurança do Banco Traseiro Esquerdo.","Falha no controle de disparo."
"B007C","Pré-Tensionador 2 do Cinto de Segurança do Banco Traseiro Direito.","Falha no controle de disparo."
"B007D","Pré-Tensionador 2 do Cinto de Segurança do Banco Traseiro Central.","Falha no controle de disparo."
"B007E","Pré-Tensionador 3 do Cinto de Segurança do Motorista.","Falha no controle de disparo."
"B007F","Pré-Tensionador 3 do Cinto de Segurança do Passageiro.","Falha no controle de disparo."
"B0080","Limitador de Carga do Cinto de Segurança do Motorista.","Falha no controle de disparo."
"B0081","Limitador de Carga do Cinto de Segurança do Banco Frontal Central.","Falha no controle de disparo."
"B0082","Limitador de Carga do Cinto de Segurança do Passageiro.","Falha no controle de disparo."
"B0083","Limitador de Carga do Cinto de Segurança do Banco Traseiro Esquerdo.","Falha no controle de disparo."
"B0084","Limitador de Carga do Cinto de Segurança do Banco Traseiro Central.","Falha no controle de disparo."
"B0085","Limitador de Carga do Cinto de Segurança do Banco Traseiro Direito.","Falha no controle de disparo."
"B0086","Limitador de Carga do Cinto de Segurança do Banco Traseiro Adicional Esquerdo.","Falha no controle de disparo."
"B0087","Limitador de Carga do Cinto de Segurança do Banco Traseiro Adicional Central.","Falha no controle de disparo."
"B0088","Limitador de Carga do Cinto de Segurança do Banco Traseiro Adicional Direito.","Falha no controle de disparo."
"B0089","Código reservado para uso futuro pelas normas ISO/SAE.",
"B008A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B008B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B008C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B008D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B008E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B008F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0090","Sensor de Impacto Frontal Esquerdo.",
"B0091","Sensor 1 de Impacto Lateral Esquerdo.",
"B0092","Sensor 2 de Impacto Lateral Esquerdo.",
"B0093","Sensor 3 de Impacto Lateral Esquerdo.",
"B0094","Sensor de Impacto Frontal Central.",
"B0095","Sensor de Impacto Frontal Direito.",
"B0096","Sensor 1 de Impacto Lateral Direito.",
"B0097","Sensor 2 de Impacto Lateral Direito.",
"B0098","Sensor 3 de Impacto Lateral Direito.",
"B0099","Sensor de Capotamento.",
"B009A","Sensor 4 de Impacto Lateral Esquerdo.",
"B009B","Sensor 5 de Impacto Lateral Esquerdo.",
"B009C","Sensor 6 de Impacto Lateral Esquerdo.",
"B009D","Sensor 4 de Impacto Lateral Direito.",
"B009E","Sensor 5 de Impacto Lateral Direito.",
"B009F","Sensor 6 de Impacto Lateral Direito.",
"B00A0","Sistema de Classificação do Ocupante.",
"B00A1","Sistema de Posicionamento do Ocupante.",
"B00A2","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A3","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A4","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A5","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A6","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A7","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A8","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00A9","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00AA","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00AB","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00AC","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00AD","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00AE","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00AF","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00B0","Sensor de Classificação do Ocupante 1 - Banco do Motorista.",
"B00B1","Sensor de Classificação do Ocupante 2 - Banco do Motorista.",
"B00B2","Sensor de Classificação do Ocupante 3 - Banco do Motorista.",
"B00B3","Sensor de Classificação do Ocupante 4 - Banco do Motorista.",
"B00B4","Sensor de Classificação do Ocupante 5 - Banco do Motorista.",
"B00B5","Sensor de Posição do Banco do Motorista.",
"B00B6","Sensor de Posição de Inclinação do Banco do Motorista.",
"B00B7","Sensor de Posição do Ocupante 1 - Banco do Motorista.",
"B00B8","Sensor de Posição do Ocupante 2 - Banco do Motorista.",
"B00B9","Sensor de Posição do Ocupante 3 - Banco do Motorista.",
"B00BA","Sensor de Posição do Ocupante 4 - Banco do Motorista.",
"B00BB","Sensor de Posição do Ocupante 5 - Banco do Motorista.",
"B00BC","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00BD","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00BE","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00BF","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00C0","Sensor de Classificação do Ocupante 1 - Banco do Passageiro.",
"B00C1","Sensor de Classificação do Ocupante 2 - Banco do Passageiro.",
"B00C2","Sensor de Classificação do Ocupante 3 - Banco do Passageiro.",
"B00C3","Sensor de Classificação do Ocupante 4 - Banco do Passageiro.",
"B00C4","Sensor de Classificação do Ocupante 5 - Banco do Passageiro.",
"B00C5","Sensor de Posição do Banco do Passageiro.",
"B00C6","Sensor de Posição de Inclinação do Banco do Passageiro.",
"B00C7","Sensor de Posição do Ocupante 1 - Banco do Passageiro.",
"B00C8","Sensor de Posição do Ocupante 2 - Banco do Passageiro.",
"B00C9","Sensor de Posição do Ocupante 3 - Banco do Passageiro.",
"B00CA","Sensor de Posição do Ocupante 4 - Banco do Passageiro.",
"B00CB","Sensor de Posição do Ocupante 5 - Banco do Passageiro.",
"B00CC","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00CD","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00CE","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00CF","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00D0","Luz Indicadora do Cinto de Segurança do Motorista.",
"B00D1","Luz Indicadora do Cinto de Segurança do Passageiro.",
